"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","Starting Salary","Current Salary","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"387",37,"No","Travel_Rarely",1107,"Research & Development",14,3,"Life Sciences",1,515,4,"Female",95,3,1,"Laboratory Technician",1,"Divorced",12136,107656,1,"Y","No",12,3,3,80,1,18,2,2,18,7,12,17
"126",26,"No","Travel_Rarely",841,"Research & Development",6,3,"Other",1,164,3,"Female",46,2,1,"Research Scientist",2,"Married",9472,93200,1,"Y","No",19,3,3,80,0,5,3,2,5,4,4,3
"709",36,"No","Non-Travel",1229,"Sales",8,4,"Technical Degree",1,990,1,"Male",84,3,2,"Sales Executive",4,"Divorced",20316,103808,4,"Y","No",13,3,4,80,2,12,3,3,7,7,0,7
"251",37,"Yes","Travel_Frequently",504,"Research & Development",10,3,"Medical",1,342,1,"Male",61,3,3,"Manufacturing Director",3,"Divorced",40192,90292,6,"Y","No",11,3,2,80,2,17,5,3,1,0,0,0
"928",36,"No","Travel_Rarely",429,"Research & Development",2,4,"Life Sciences",1,1294,3,"Female",53,3,2,"Manufacturing Director",2,"Single",21640,9292,9,"Y","Yes",11,3,4,80,0,18,2,3,16,14,5,12
"1223",24,"Yes","Travel_Rarely",240,"Human Resources",22,1,"Human Resources",1,1714,4,"Male",58,1,1,"Human Resources",3,"Married",6220,46340,1,"Y","No",11,3,3,80,1,1,2,3,1,0,0,0
"264",46,"No","Travel_Rarely",488,"Sales",2,3,"Technical Degree",1,363,3,"Female",75,1,4,"Manager",2,"Married",67488,59908,3,"Y","Yes",12,3,2,80,1,28,2,2,7,7,7,7
"265",28,"Yes","Travel_Rarely",529,"Research & Development",2,4,"Life Sciences",1,364,1,"Male",79,3,1,"Laboratory Technician",3,"Single",13940,59740,2,"Y","No",11,3,3,80,0,5,5,1,0,0,0,0
"1099",40,"No","Non-Travel",1142,"Research & Development",8,2,"Life Sciences",1,1552,4,"Male",72,3,2,"Healthcare Representative",4,"Divorced",16276,35364,3,"Y","Yes",18,3,3,80,0,8,2,3,2,2,2,2
"1139",50,"No","Travel_Frequently",1234,"Research & Development",20,5,"Medical",1,1606,2,"Male",41,3,4,"Healthcare Representative",3,"Married",44980,82756,2,"Y","Yes",15,3,3,80,1,32,3,3,30,8,12,13
"455",29,"No","Travel_Rarely",232,"Research & Development",19,3,"Technical Degree",1,611,4,"Male",34,3,2,"Manufacturing Director",4,"Divorced",17048,90580,4,"Y","No",12,3,2,80,2,8,2,4,3,2,1,2
"983",38,"No","Travel_Frequently",693,"Research & Development",7,3,"Life Sciences",1,1382,4,"Male",57,4,1,"Research Scientist",3,"Divorced",10440,62992,1,"Y","No",11,3,4,80,3,4,2,3,4,2,0,3
"1274",22,"Yes","Travel_Rarely",1294,"Research & Development",8,1,"Medical",1,1783,3,"Female",79,3,1,"Laboratory Technician",1,"Married",9592,63996,1,"Y","Yes",17,3,3,80,0,1,6,3,1,0,0,0
"649",37,"No","Travel_Frequently",1231,"Sales",21,2,"Medical",1,900,3,"Female",54,3,1,"Sales Representative",4,"Married",11892,84888,5,"Y","No",15,3,2,80,1,10,3,3,5,4,0,0
"396",43,"No","Travel_Frequently",313,"Research & Development",21,3,"Medical",1,525,4,"Male",61,3,1,"Laboratory Technician",4,"Married",9032,60952,7,"Y","No",20,4,1,80,1,8,1,3,3,2,1,2
"727",31,"No","Travel_Frequently",853,"Research & Development",1,1,"Life Sciences",1,1011,3,"Female",96,3,2,"Manufacturing Director",1,"Married",16592,45100,1,"Y","No",12,3,3,80,1,4,1,3,4,3,0,3
"1165",40,"No","Travel_Rarely",448,"Research & Development",16,3,"Life Sciences",1,1641,3,"Female",84,3,3,"Manufacturing Director",4,"Single",31780,79792,6,"Y","Yes",15,3,4,80,0,18,2,2,4,2,3,3
"1028",34,"No","Travel_Rarely",401,"Research & Development",1,3,"Life Sciences",1,1447,4,"Female",86,2,1,"Laboratory Technician",2,"Married",13176,14832,5,"Y","No",17,3,1,80,1,7,2,2,5,4,0,2
"1361",31,"No","Travel_Rarely",471,"Research & Development",4,3,"Medical",1,1916,1,"Female",62,4,1,"Laboratory Technician",3,"Divorced",15912,64124,8,"Y","No",12,3,2,80,1,4,0,2,2,2,2,2
"155",32,"No","Travel_Frequently",967,"Sales",8,3,"Marketing",1,207,2,"Female",43,3,3,"Sales Executive",4,"Single",35992,62356,1,"Y","No",14,3,4,80,0,9,2,3,9,8,3,7
"185",53,"No","Travel_Rarely",1084,"Research & Development",13,2,"Medical",1,250,4,"Female",57,4,2,"Manufacturing Director",1,"Divorced",17800,105000,1,"Y","No",11,3,3,80,2,5,3,3,4,2,1,3
"111",51,"No","Travel_Frequently",1456,"Research & Development",1,4,"Medical",1,145,1,"Female",30,2,3,"Healthcare Representative",1,"Single",29936,103184,3,"Y","No",20,4,3,80,0,23,1,2,13,12,12,8
"493",48,"No","Travel_Rarely",1236,"Research & Development",1,4,"Life Sciences",1,664,4,"Female",40,2,4,"Manager",1,"Married",61608,71988,7,"Y","No",11,3,1,80,1,21,3,1,3,2,0,2
"477",24,"No","Travel_Rarely",823,"Research & Development",17,2,"Other",1,643,4,"Male",94,2,1,"Laboratory Technician",2,"Married",8508,36400,1,"Y","No",21,4,4,80,1,1,2,3,1,0,0,0
"985",28,"No","Travel_Rarely",736,"Sales",26,3,"Life Sciences",1,1387,3,"Male",48,2,2,"Sales Executive",1,"Married",18896,96928,1,"Y","No",11,3,3,80,1,5,0,3,5,3,0,4
"501",32,"No","Travel_Rarely",646,"Research & Development",9,4,"Life Sciences",1,679,1,"Female",92,3,2,"Research Scientist",4,"Married",25288,72356,1,"Y","Yes",12,3,4,80,1,6,2,2,6,4,0,5
"276",37,"No","Non-Travel",728,"Research & Development",1,4,"Medical",1,380,1,"Female",80,3,3,"Research Director",4,"Divorced",54412,46708,2,"Y","Yes",18,3,1,80,2,15,2,3,5,2,0,2
"431",35,"No","Travel_Rarely",144,"Research & Development",22,3,"Life Sciences",1,577,4,"Male",46,1,1,"Laboratory Technician",3,"Single",16920,76900,0,"Y","No",15,3,3,80,0,6,2,3,5,4,4,3
"502",30,"No","Travel_Frequently",160,"Research & Development",3,3,"Medical",1,680,3,"Female",71,3,1,"Research Scientist",3,"Divorced",8332,90612,1,"Y","No",20,4,3,80,1,1,2,3,1,0,0,0
"1033",39,"Yes","Non-Travel",592,"Research & Development",2,3,"Life Sciences",1,1458,1,"Female",54,2,1,"Laboratory Technician",1,"Single",14584,68724,2,"Y","Yes",23,4,2,80,0,11,2,4,1,0,0,0
"913",26,"No","Travel_Rarely",583,"Research & Development",4,2,"Life Sciences",1,1275,3,"Male",53,3,1,"Research Scientist",4,"Single",11500,39892,1,"Y","Yes",20,4,2,80,0,8,2,2,8,5,2,2
"575",34,"No","Travel_Rarely",182,"Research & Development",1,4,"Life Sciences",1,797,2,"Female",72,4,1,"Research Scientist",4,"Single",13120,54204,2,"Y","No",16,3,3,80,0,10,2,3,4,2,1,3
"105",37,"No","Non-Travel",1040,"Research & Development",2,2,"Life Sciences",1,139,3,"Male",100,2,2,"Healthcare Representative",4,"Divorced",20652,63400,5,"Y","No",14,3,4,80,1,17,2,4,1,0,0,0
"352",32,"No","Travel_Rarely",1062,"Research & Development",2,3,"Medical",1,471,3,"Female",75,3,1,"Laboratory Technician",2,"Married",9480,15824,1,"Y","No",13,3,3,80,1,8,4,3,8,0,0,7
"1198",20,"No","Travel_Rarely",727,"Sales",9,1,"Life Sciences",1,1680,4,"Male",54,3,1,"Sales Representative",1,"Single",10912,84328,1,"Y","No",11,3,1,80,0,2,3,3,2,2,0,2
"1360",34,"No","Travel_Rarely",735,"Sales",3,1,"Medical",1,1915,4,"Female",75,2,2,"Sales Executive",4,"Married",32412,65980,3,"Y","Yes",12,3,3,80,0,9,3,2,4,2,0,1
"453",45,"No","Travel_Rarely",561,"Sales",2,3,"Other",1,606,4,"Male",61,3,2,"Sales Executive",2,"Married",19220,64708,0,"Y","No",19,3,2,80,1,9,3,4,8,7,3,7
"1334",46,"Yes","Travel_Rarely",1254,"Sales",10,3,"Life Sciences",1,1869,3,"Female",64,3,3,"Sales Executive",2,"Married",29256,56044,5,"Y","No",21,4,3,80,3,14,2,3,8,7,0,7
"1183",36,"No","Non-Travel",894,"Research & Development",1,4,"Medical",1,1662,4,"Female",33,2,2,"Manufacturing Director",3,"Married",17496,61644,0,"Y","No",15,3,3,80,0,4,6,3,3,2,1,2
"168",30,"No","Travel_Rarely",1339,"Sales",5,3,"Life Sciences",1,228,2,"Female",41,3,3,"Sales Executive",4,"Married",37676,32212,2,"Y","No",12,3,3,80,1,12,2,3,10,9,7,4
"987",39,"No","Travel_Rarely",1498,"Sales",21,4,"Life Sciences",1,1390,1,"Male",44,2,2,"Sales Executive",4,"Married",24480,14268,3,"Y","Yes",12,3,4,80,2,8,2,4,5,4,1,4
"457",31,"No","Travel_Rarely",688,"Sales",7,3,"Life Sciences",1,613,3,"Male",44,2,3,"Manager",4,"Divorced",46228,101164,9,"Y","No",21,4,3,80,1,10,3,2,5,4,0,1
"1101",35,"No","Travel_Rarely",1402,"Sales",28,4,"Life Sciences",1,1554,2,"Female",98,2,1,"Sales Representative",3,"Married",9720,104816,0,"Y","No",23,4,1,80,2,6,5,3,5,3,4,2
"353",48,"No","Travel_Rarely",530,"Sales",29,1,"Medical",1,473,1,"Female",91,3,3,"Manager",3,"Married",50016,95912,3,"Y","No",21,4,2,80,1,15,3,1,0,0,0,0
"144",30,"No","Travel_Rarely",438,"Research & Development",18,3,"Life Sciences",1,194,1,"Female",75,3,1,"Research Scientist",3,"Single",10528,95640,1,"Y","No",14,3,3,80,0,5,4,2,5,4,0,4
"857",20,"No","Travel_Rarely",805,"Research & Development",3,3,"Life Sciences",1,1198,1,"Male",87,2,1,"Laboratory Technician",3,"Single",12132,51312,1,"Y","No",12,3,1,80,0,2,2,2,2,2,1,2
"1377",38,"No","Travel_Rarely",1206,"Research & Development",9,2,"Life Sciences",1,1940,2,"Male",71,3,1,"Research Scientist",4,"Divorced",19084,57172,2,"Y","No",19,3,4,80,2,10,0,4,5,2,0,3
"1248",31,"No","Travel_Rarely",1003,"Sales",5,3,"Technical Degree",1,1749,1,"Male",51,3,2,"Sales Executive",3,"Married",33384,83772,1,"Y","No",19,3,3,80,1,6,3,3,5,2,0,2
"1300",40,"No","Travel_Rarely",1194,"Research & Development",1,3,"Life Sciences",1,1822,3,"Female",52,3,2,"Healthcare Representative",4,"Divorced",26052,36240,4,"Y","No",17,3,4,80,1,12,3,3,5,3,0,3
"662",43,"No","Travel_Rarely",177,"Research & Development",8,3,"Life Sciences",1,920,1,"Female",55,3,2,"Manufacturing Director",2,"Divorced",19060,95256,4,"Y","No",21,4,3,80,1,4,2,4,1,0,0,0
"415",24,"Yes","Travel_Rarely",1448,"Sales",1,1,"Technical Degree",1,554,1,"Female",62,3,1,"Sales Representative",2,"Single",12808,87888,1,"Y","Yes",16,3,2,80,0,6,4,3,5,3,1,4
"1010",58,"No","Travel_Rarely",1055,"Research & Development",1,3,"Medical",1,1423,4,"Female",76,3,5,"Research Director",1,"Married",78804,89824,3,"Y","Yes",21,4,3,80,1,32,3,3,9,8,1,5
"1436",44,"No","Travel_Rarely",1037,"Research & Development",1,3,"Medical",1,2020,2,"Male",42,3,1,"Research Scientist",4,"Single",9744,53688,6,"Y","Yes",12,3,3,80,0,6,2,3,4,3,1,2
"124",51,"No","Travel_Rarely",684,"Research & Development",6,3,"Life Sciences",1,162,1,"Male",51,3,5,"Research Director",3,"Single",78148,25848,7,"Y","No",13,3,3,80,0,23,5,3,20,18,15,15
"881",32,"No","Travel_Frequently",116,"Research & Development",13,3,"Other",1,1234,3,"Female",77,2,1,"Laboratory Technician",2,"Married",10972,29324,1,"Y","No",20,4,3,80,1,2,2,3,2,2,2,2
"504",34,"No","Travel_Rarely",1397,"Research & Development",1,5,"Life Sciences",1,683,2,"Male",42,3,1,"Research Scientist",4,"Married",10764,30640,1,"Y","No",12,3,4,80,1,10,4,2,10,9,8,8
"1110",30,"No","Travel_Rarely",1288,"Sales",29,4,"Technical Degree",1,1568,3,"Male",33,3,3,"Sales Executive",2,"Married",37000,71196,3,"Y","No",12,3,2,80,1,9,3,3,4,2,1,3
"601",32,"No","Travel_Rarely",859,"Research & Development",4,3,"Life Sciences",1,830,3,"Female",98,2,2,"Manufacturing Director",3,"Married",24648,76496,1,"Y","No",12,3,3,80,1,14,3,3,14,13,6,8
"818",36,"No","Non-Travel",217,"Research & Development",18,4,"Life Sciences",1,1133,1,"Male",78,3,2,"Manufacturing Director",4,"Single",31116,92952,2,"Y","No",20,4,1,80,0,18,0,3,11,9,0,9
"1259",29,"No","Travel_Rarely",590,"Research & Development",4,3,"Technical Degree",1,1762,4,"Female",91,2,1,"Research Scientist",1,"Divorced",8436,40028,1,"Y","No",13,3,3,80,1,1,2,3,1,0,0,0
"1235",47,"No","Non-Travel",543,"Sales",2,4,"Marketing",1,1731,3,"Male",87,3,2,"Sales Executive",2,"Married",19912,14144,7,"Y","No",11,3,4,80,1,4,3,1,1,0,0,0
"1429",32,"No","Travel_Rarely",234,"Sales",1,4,"Medical",1,2013,2,"Male",68,2,1,"Sales Representative",2,"Married",9076,72096,0,"Y","No",14,3,2,80,1,3,2,3,2,2,2,2
"1370",28,"Yes","Travel_Rarely",1475,"Sales",13,2,"Marketing",1,1933,4,"Female",84,3,2,"Sales Executive",3,"Single",39416,93408,3,"Y","Yes",11,3,4,80,0,6,0,3,2,0,2,2
"1002",37,"No","Travel_Rarely",1462,"Research & Development",11,3,"Medical",1,1411,1,"Female",94,3,1,"Laboratory Technician",3,"Single",14516,76424,4,"Y","No",18,3,1,80,0,8,6,3,3,2,0,2
"1203",38,"No","Travel_Rarely",1495,"Research & Development",4,2,"Medical",1,1687,4,"Female",87,3,1,"Laboratory Technician",3,"Married",13224,104704,7,"Y","No",19,3,4,80,1,7,5,2,0,0,0,0
"1332",48,"No","Travel_Rarely",1224,"Research & Development",10,3,"Life Sciences",1,1867,4,"Male",91,2,5,"Research Director",2,"Married",78660,54332,4,"Y","No",12,3,4,80,0,29,3,3,22,10,12,9
"433",34,"No","Travel_Rarely",1303,"Research & Development",2,4,"Life Sciences",1,579,4,"Male",62,2,1,"Research Scientist",3,"Divorced",11072,33664,3,"Y","No",12,3,3,80,1,14,3,3,7,3,5,7
"1146",36,"No","Travel_Rarely",559,"Research & Development",12,4,"Life Sciences",1,1614,3,"Female",76,3,2,"Manufacturing Director",3,"Married",18652,49684,9,"Y","Yes",12,3,2,80,2,7,2,3,3,2,1,1
"1394",27,"No","Travel_Rarely",954,"Sales",9,3,"Marketing",1,1965,4,"Male",44,3,2,"Sales Executive",4,"Single",16420,20396,1,"Y","No",14,3,1,80,0,7,5,3,7,7,0,7
"1357",41,"No","Travel_Rarely",337,"Sales",8,3,"Marketing",1,1909,3,"Female",54,3,2,"Sales Executive",2,"Married",17572,107364,5,"Y","No",21,4,3,80,1,14,3,3,5,4,1,4
"445",48,"No","Travel_Rarely",163,"Sales",2,5,"Marketing",1,595,2,"Female",37,3,2,"Sales Executive",4,"Married",16204,78632,2,"Y","No",14,3,1,80,1,14,2,3,9,7,6,7
"1289",35,"No","Non-Travel",1180,"Research & Development",2,2,"Medical",1,1804,2,"Male",90,3,2,"Manufacturing Director",4,"Divorced",23048,97768,2,"Y","No",14,3,3,80,1,15,6,3,7,7,1,7
"1108",38,"No","Travel_Frequently",888,"Human Resources",10,4,"Human Resources",1,1563,3,"Male",71,3,2,"Human Resources",3,"Married",24308,59256,3,"Y","No",11,3,3,80,0,10,2,3,6,3,1,2
"602",40,"No","Travel_Frequently",720,"Research & Development",16,4,"Medical",1,832,1,"Male",51,2,2,"Laboratory Technician",3,"Single",20376,47932,6,"Y","No",14,3,4,80,0,10,6,3,1,0,0,0
"1158",35,"No","Non-Travel",208,"Research & Development",8,4,"Life Sciences",1,1630,3,"Female",52,3,2,"Healthcare Representative",3,"Married",16592,49000,1,"Y","No",12,3,4,80,1,15,5,3,14,11,2,9
"910",19,"No","Travel_Rarely",265,"Research & Development",25,3,"Life Sciences",1,1269,2,"Female",57,4,1,"Research Scientist",4,"Single",11976,84884,1,"Y","Yes",12,3,4,80,0,1,2,3,1,0,0,1
"853",29,"No","Travel_Rarely",1401,"Research & Development",6,1,"Medical",1,1192,2,"Female",54,3,1,"Laboratory Technician",4,"Married",12524,105368,1,"Y","No",13,3,1,80,1,10,5,3,10,8,0,8
"597",35,"No","Travel_Rarely",1258,"Research & Development",1,4,"Life Sciences",1,826,4,"Female",40,4,1,"Research Scientist",3,"Single",10024,53204,3,"Y","No",13,3,3,80,0,7,0,3,2,2,2,2
"1050",30,"No","Travel_Rarely",1358,"Sales",16,1,"Life Sciences",1,1479,4,"Male",96,3,2,"Sales Executive",3,"Married",21204,11756,8,"Y","No",15,3,3,80,2,4,2,2,2,1,2,2
"971",27,"No","Travel_Rarely",1291,"Sales",11,3,"Medical",1,1364,3,"Female",98,4,1,"Sales Representative",4,"Married",10136,26108,8,"Y","No",14,3,2,80,1,5,4,3,1,0,0,0
"485",31,"No","Travel_Rarely",525,"Sales",6,4,"Medical",1,653,1,"Male",66,4,2,"Sales Executive",4,"Divorced",21840,24876,4,"Y","No",22,4,4,80,2,13,4,4,7,7,5,7
"1465",26,"No","Travel_Rarely",1167,"Sales",5,3,"Other",1,2060,4,"Female",30,2,1,"Sales Representative",3,"Single",11864,85512,0,"Y","No",18,3,4,80,0,5,2,3,4,2,0,0
"701",58,"Yes","Travel_Rarely",289,"Research & Development",2,3,"Technical Degree",1,977,4,"Male",51,3,1,"Research Scientist",3,"Single",9916,104908,4,"Y","No",24,4,1,80,0,7,4,3,1,0,0,0
"332",27,"No","Non-Travel",210,"Sales",1,1,"Marketing",1,449,3,"Male",73,3,2,"Sales Executive",2,"Married",25396,88428,0,"Y","Yes",13,3,4,80,1,6,0,3,5,4,1,4
"399",37,"No","Non-Travel",1063,"Research & Development",25,5,"Medical",1,529,2,"Female",72,3,2,"Research Scientist",3,"Married",17796,95464,3,"Y","Yes",15,3,1,80,2,15,2,3,13,11,10,7
"642",32,"No","Travel_Frequently",379,"Sales",5,2,"Life Sciences",1,889,2,"Male",48,3,2,"Sales Executive",2,"Married",26096,35564,1,"Y","No",14,3,4,80,1,10,3,3,10,8,5,3
"847",35,"No","Travel_Rarely",819,"Research & Development",2,3,"Life Sciences",1,1182,3,"Male",44,2,3,"Manufacturing Director",2,"Divorced",41096,78352,2,"Y","No",18,3,2,80,1,15,2,4,7,7,6,4
"59",31,"No","Travel_Rarely",655,"Research & Development",7,4,"Life Sciences",1,76,4,"Male",48,3,2,"Laboratory Technician",4,"Divorced",23660,38112,3,"Y","No",22,4,4,80,1,10,3,2,7,7,1,7
"1",41,"Yes","Travel_Rarely",1102,"Sales",1,2,"Life Sciences",1,1,2,"Female",94,3,2,"Sales Executive",4,"Single",23972,77916,8,"Y","Yes",11,3,1,80,0,8,0,1,6,4,0,5
"1267",41,"No","Travel_Rarely",548,"Research & Development",9,4,"Life Sciences",1,1772,3,"Male",94,3,1,"Laboratory Technician",1,"Divorced",9156,82080,1,"Y","No",20,4,2,80,2,5,2,3,5,3,0,4
"480",24,"Yes","Travel_Frequently",1287,"Research & Development",7,3,"Life Sciences",1,647,1,"Female",55,3,1,"Laboratory Technician",3,"Married",11544,56672,1,"Y","Yes",16,3,4,80,1,6,4,3,6,3,1,2
"1053",30,"No","Non-Travel",990,"Research & Development",7,3,"Technical Degree",1,1482,3,"Male",64,3,1,"Research Scientist",3,"Divorced",5096,28608,1,"Y","No",13,3,2,80,2,1,2,2,1,0,0,0
"1132",34,"No","Travel_Frequently",653,"Research & Development",10,4,"Technical Degree",1,1597,4,"Male",92,2,2,"Healthcare Representative",3,"Married",20252,61328,1,"Y","No",14,3,2,80,1,8,3,2,8,2,7,7
"1301",34,"No","Travel_Rarely",810,"Sales",8,2,"Technical Degree",1,1823,2,"Male",92,4,2,"Sales Executive",3,"Married",27196,88512,1,"Y","No",21,4,3,80,2,10,5,3,10,8,4,8
"558",35,"No","Non-Travel",1225,"Research & Development",2,4,"Life Sciences",1,771,4,"Female",61,3,2,"Healthcare Representative",1,"Divorced",20372,19044,2,"Y","No",11,3,1,80,1,16,2,4,1,0,0,0
"336",40,"No","Travel_Rarely",1124,"Sales",1,2,"Medical",1,453,2,"Male",57,1,2,"Sales Executive",4,"Married",29828,53092,2,"Y","Yes",22,4,3,80,3,6,2,2,4,3,0,2
"1020",36,"No","Travel_Rarely",329,"Sales",16,4,"Marketing",1,1436,3,"Female",98,2,2,"Sales Executive",1,"Married",22588,53976,4,"Y","No",13,3,1,80,2,11,3,2,3,2,0,2
"692",40,"No","Travel_Frequently",1469,"Research & Development",9,4,"Medical",1,964,4,"Male",35,3,1,"Research Scientist",2,"Divorced",14468,100252,8,"Y","Yes",14,3,4,80,1,3,2,3,1,1,0,0
"178",19,"Yes","Travel_Rarely",303,"Research & Development",2,3,"Life Sciences",1,243,2,"Male",47,2,1,"Laboratory Technician",4,"Single",4408,36964,1,"Y","No",22,4,3,80,0,1,3,2,1,0,1,0
"447",41,"No","Non-Travel",267,"Sales",10,2,"Life Sciences",1,599,4,"Male",56,3,2,"Sales Executive",4,"Single",24920,53720,7,"Y","No",14,3,4,80,0,16,3,3,14,3,1,10
"1353",44,"No","Travel_Rarely",170,"Research & Development",1,4,"Life Sciences",1,1903,2,"Male",78,4,2,"Healthcare Representative",1,"Married",20132,37456,2,"Y","No",15,3,4,80,1,10,5,3,2,0,2,2
"1435",52,"No","Non-Travel",585,"Sales",29,4,"Life Sciences",1,2019,1,"Male",40,3,1,"Sales Representative",4,"Divorced",13928,79152,2,"Y","No",15,3,2,80,2,16,3,2,9,8,0,0
"1359",31,"No","Travel_Rarely",1079,"Sales",10,2,"Medical",1,1912,3,"Female",86,3,2,"Sales Executive",4,"Divorced",26332,80460,2,"Y","Yes",11,3,4,80,1,8,2,3,5,2,1,4
"1261",32,"No","Non-Travel",953,"Research & Development",5,4,"Technical Degree",1,1764,2,"Male",65,3,1,"Research Scientist",2,"Single",10872,70696,2,"Y","No",14,3,2,80,0,12,3,3,7,7,0,7
"859",53,"No","Travel_Rarely",1223,"Research & Development",7,2,"Medical",1,1201,4,"Female",50,3,5,"Manager",3,"Divorced",74424,74560,3,"Y","No",18,3,2,80,1,26,6,3,7,7,4,7
"131",43,"No","Travel_Frequently",957,"Research & Development",28,3,"Medical",1,171,2,"Female",72,4,1,"Research Scientist",3,"Single",18956,64360,4,"Y","No",12,3,4,80,0,18,2,3,3,2,1,2
"739",39,"No","Travel_Rarely",466,"Research & Development",1,1,"Life Sciences",1,1026,4,"Female",65,2,4,"Manufacturing Director",4,"Married",50968,28240,1,"Y","No",16,3,3,80,1,21,3,3,21,6,11,8
"339",30,"No","Travel_Rarely",570,"Sales",5,3,"Marketing",1,456,4,"Female",30,2,2,"Sales Executive",3,"Divorced",24472,21724,1,"Y","No",13,3,3,80,3,10,2,3,10,9,1,2
"125",31,"Yes","Travel_Rarely",249,"Sales",6,4,"Life Sciences",1,163,2,"Male",76,1,2,"Sales Executive",3,"Married",24688,82956,4,"Y","Yes",18,3,2,80,0,12,3,2,7,7,7,7
"941",39,"Yes","Travel_Rarely",360,"Research & Development",23,3,"Medical",1,1310,3,"Male",93,3,1,"Research Scientist",1,"Single",15616,88616,0,"Y","No",13,3,1,80,0,6,2,3,5,2,0,3
"1441",36,"No","Travel_Frequently",688,"Research & Development",4,2,"Life Sciences",1,2025,4,"Female",97,3,2,"Manufacturing Director",2,"Divorced",20524,36768,7,"Y","No",13,3,2,80,3,18,3,3,4,2,0,2
"698",29,"No","Travel_Frequently",1404,"Sales",20,3,"Technical Degree",1,974,3,"Female",84,3,1,"Sales Representative",4,"Married",8628,72812,1,"Y","No",15,3,2,80,1,3,5,3,3,1,0,2
"687",41,"No","Travel_Rarely",263,"Research & Development",6,3,"Medical",1,957,4,"Male",59,3,1,"Laboratory Technician",1,"Single",18884,12476,2,"Y","Yes",13,3,3,80,0,20,3,3,18,13,2,17
"787",27,"No","Non-Travel",1277,"Research & Development",8,5,"Life Sciences",1,1094,1,"Male",87,1,1,"Laboratory Technician",3,"Married",18484,23476,1,"Y","No",19,3,4,80,3,3,4,3,3,2,1,2
"991",33,"No","Travel_Frequently",1111,"Sales",5,1,"Life Sciences",1,1395,2,"Male",61,3,2,"Sales Executive",4,"Married",39992,77172,6,"Y","No",13,3,1,80,0,8,2,4,5,4,1,2
"1307",31,"No","Travel_Frequently",1125,"Sales",7,4,"Marketing",1,1833,1,"Female",68,3,3,"Sales Executive",1,"Married",38548,33108,2,"Y","No",14,3,4,80,2,9,3,3,3,2,2,2
"58",35,"No","Travel_Rarely",1142,"Research & Development",23,4,"Medical",1,75,3,"Female",30,3,1,"Laboratory Technician",1,"Married",16056,64008,3,"Y","Yes",15,3,3,80,1,4,3,3,2,2,2,2
"621",35,"No","Travel_Rarely",1343,"Research & Development",27,1,"Medical",1,856,3,"Female",53,2,1,"Research Scientist",1,"Single",10236,71408,1,"Y","No",11,3,4,80,0,6,3,2,6,5,1,1
"454",26,"Yes","Travel_Frequently",426,"Human Resources",17,4,"Life Sciences",1,608,2,"Female",58,3,1,"Human Resources",3,"Divorced",10964,91232,0,"Y","Yes",11,3,2,80,1,8,2,2,7,7,1,0
"666",47,"No","Travel_Rarely",1454,"Sales",2,4,"Life Sciences",1,925,4,"Female",65,2,1,"Sales Representative",4,"Single",13176,52548,1,"Y","Yes",18,3,1,80,0,3,3,2,3,2,1,2
"1246",24,"No","Travel_Frequently",897,"Human Resources",10,3,"Medical",1,1746,1,"Male",59,3,1,"Human Resources",4,"Married",8580,8388,0,"Y","No",14,3,4,80,1,3,2,3,2,2,2,1
"365",37,"No","Travel_Rarely",921,"Research & Development",10,3,"Medical",1,486,3,"Female",98,3,1,"Laboratory Technician",1,"Married",13808,70652,6,"Y","No",20,4,2,80,1,17,3,3,5,4,0,3
"1265",55,"No","Travel_Rarely",478,"Research & Development",2,3,"Medical",1,1770,3,"Male",60,2,5,"Research Director",1,"Married",76152,79220,8,"Y","No",12,3,2,80,3,34,2,3,1,0,0,0
"876",44,"No","Travel_Rarely",200,"Research & Development",29,4,"Other",1,1225,4,"Male",32,3,2,"Research Scientist",4,"Single",18164,30976,1,"Y","No",25,4,2,80,0,20,3,3,20,11,13,17
"693",32,"No","Travel_Rarely",498,"Research & Development",3,4,"Medical",1,966,3,"Female",93,3,2,"Manufacturing Director",1,"Married",26900,54216,1,"Y","No",12,3,3,80,1,8,2,4,8,7,6,3
"395",31,"No","Travel_Rarely",480,"Research & Development",7,2,"Medical",1,524,2,"Female",31,3,2,"Manufacturing Director",1,"Married",17224,16624,1,"Y","No",12,3,2,80,1,13,5,1,13,10,3,12
"193",35,"Yes","Travel_Rarely",556,"Research & Development",23,2,"Life Sciences",1,261,2,"Male",50,2,2,"Manufacturing Director",3,"Married",23664,61988,3,"Y","Yes",13,3,1,80,0,8,1,3,1,0,0,1
"630",28,"No","Travel_Rarely",1169,"Human Resources",8,2,"Medical",1,869,2,"Male",63,2,1,"Human Resources",4,"Divorced",19744,95860,1,"Y","No",13,3,4,80,1,6,6,3,5,1,0,4
